  1.50001000E+01 -1.59661635E+02 -1.58989967E+02  4.95912353E-01  1.48385284E+00  2.45960356E+00  3.42292386E+00  4.37355633E+00  5.31122465E+00  6.12503556E+00  6.23563110E+00  7.14645347E+00  7.35378768E+00  8.04334131E+00  8.92591115E+00  9.79374029E+00  1.06463585E+01  1.14832365E+01  1.23037681E+01  1.31072418E+01  1.38927899E+01  1.46592936E+01  1.54052122E+01  1.61283651E+01  1.68260529E+01  1.74968269E+01  1.81448847E+01  1.87814291E+01  1.94150023E+01  2.00403125E+01  2.06321361E+01  2.11528753E+01  2.16631909E+01  2.22590020E+01  2.29229937E+01  2.36334793E+01  2.43829831E+01  2.51681692E+01  2.59869504E+01  2.68378351E+01  2.77197019E+01  2.86316801E+01  2.95730775E+01  3.05433324E+01  3.15419822E+01  3.25686402E+01  3.36229798E+01  3.47047222E+01  3.58136275E+01  3.69494878E+01  3.81121215E+01  3.93013690E+01  4.05170894E+01  4.17591577E+01  4.30274624E+01  4.43219035E+01  4.56423913E+01  4.69888445E+01  4.83611899E+01  4.97593605E+01  5.11832957E+01  5.26329397E+01  5.41082416E+01  5.56091544E+01  5.71356351E+01  5.86876435E+01  6.02651429E+01  6.18680989E+01  6.34964796E+01  6.51502553E+01  6.68293982E+01  6.85338825E+01  7.02636838E+01  7.20187792E+01  7.37991475E+01  7.56047684E+01  7.74356228E+01  7.92916930E+01  8.11729618E+01  8.30794134E+01  8.50110324E+01
  1.50000000E+01 -1.59668620E+02 -1.58996962E+02  4.95912283E-01  1.48385261E+00  2.45960299E+00  3.42292278E+00  4.37355456E+00  5.31122200E+00  6.12386000E+00  6.23562737E+00  7.14644845E+00  7.35258232E+00  8.04333478E+00  8.92590286E+00  9.79372999E+00  1.06463460E+01  1.14832214E+01  1.23037500E+01  1.31072204E+01  1.38927648E+01  1.46592642E+01  1.54051776E+01  1.61283244E+01  1.68260046E+01  1.74967702E+01  1.81448210E+01  1.87813617E+01  1.94149326E+01  2.00402366E+01  2.06320409E+01  2.11527525E+01  2.16630844E+01  2.22589256E+01  2.29229374E+01  2.36334391E+01  2.43829577E+01  2.51681581E+01  2.59869533E+01  2.68378519E+01  2.77197326E+01  2.86317249E+01  2.95731364E+01  3.05434057E+01  3.15420700E+01  3.25687427E+01  3.36230973E+01  3.47048549E+01  3.58137757E+01  3.69496518E+01  3.81123015E+01  3.93015653E+01  4.05173024E+01  4.17593876E+01  4.30277095E+01  4.43221682E+01  4.56426737E+01  4.69891451E+01  4.83615089E+01  4.97596984E+01  5.11836526E+01  5.26333160E+01  5.41086376E+01  5.56095705E+01  5.71360715E+01  5.86881006E+01  6.02656210E+01  6.18685983E+01  6.34970007E+01  6.51507983E+01  6.68299636E+01  6.85344705E+01  7.02642947E+01  7.20194135E+01  7.37998054E+01  7.56054502E+01  7.74363289E+01  7.92924236E+01  8.11737174E+01  8.30801942E+01  8.50118389E+01
  1.49999000E+01 -1.59668931E+02 -1.58997278E+02  4.95912213E-01  1.48385237E+00  2.45960242E+00  3.42292171E+00  4.37355280E+00  5.31121936E+00  6.12358361E+00  6.23562365E+00  7.14644343E+00  7.35229745E+00  8.04332825E+00  8.92589457E+00  9.79371969E+00  1.06463334E+01  1.14832062E+01  1.23037319E+01  1.31071989E+01  1.38927396E+01  1.46592347E+01  1.54051431E+01  1.61282838E+01  1.68259569E+01  1.74967154E+01  1.81447613E+01  1.87813010E+01  1.94148716E+01  2.00401705E+01  2.06319564E+01  2.11526450E+01  2.16629997E+01  2.22588736E+01  2.29229070E+01  2.36334263E+01  2.43829612E+01  2.51681773E+01  2.59869878E+01  2.68379018E+01  2.77197978E+01  2.86318054E+01  2.95732323E+01  3.05435171E+01  3.15421972E+01  3.25688858E+01  3.36232565E+01  3.47050305E+01  3.58139680E+01  3.69498609E+01  3.81125278E+01  3.93018091E+01  4.05175638E+01  4.17596671E+01  4.30280073E+01  4.43224845E+01  4.56430090E+01  4.69894996E+01  4.83618829E+01  4.97600922E+01  5.11840666E+01  5.26337504E+01  5.41090928E+01  5.56100468E+01  5.71365692E+01  5.86886201E+01  6.02661625E+01  6.18691622E+01  6.34975872E+01  6.51514079E+01  6.68305966E+01  6.85351271E+01  7.02649754E+01  7.20201185E+01  7.38005351E+01  7.56062049E+01  7.74371090E+01  7.92932294E+01  8.11745492E+01  8.30810523E+01  8.50127236E+01
  1.49677368E+01 -1.59754946E+02 -1.59084742E+02  4.95889610E-01  1.48377660E+00  2.45941937E+00  3.42257502E+00  4.37298362E+00  5.31036606E+00  6.03709631E+00  6.23442146E+00  7.14482404E+00  7.26314010E+00  8.04121925E+00  8.92321886E+00  9.79039457E+00  1.06422694E+01  1.14783056E+01  1.22978862E+01  1.31002846E+01  1.38846108E+01  1.46497091E+01  1.53939790E+01  1.61151608E+01  1.68105433E+01  1.74790094E+01  1.81255758E+01  1.87618284E+01  1.93952856E+01  2.00187773E+01  2.06043439E+01  2.11181327E+01  2.16365943E+01  2.22427473E+01  2.29135957E+01  2.36297389E+01  2.43845099E+01  2.51747850E+01  2.59985633E+01  2.68544043E+01  2.77412203E+01  2.86581644E+01  2.96045617E+01  3.05798637E+01  3.15836178E+01  3.26154452E+01  3.36750257E+01  3.47620857E+01  3.58763896E+01  3.70177329E+01  3.81859371E+01  3.93808450E+01  4.06023182E+01  4.18502332E+01  4.31244802E+01  4.44249607E+01  4.57515861E+01  4.71042764E+01  4.84829591E+01  4.98875682E+01  5.13180438E+01  5.27743307E+01  5.42563787E+01  5.57641414E+01  5.72975760E+01  5.88566430E+01  6.04413060E+01  6.20515309E+01  6.36872862E+01  6.53485425E+01  6.70352722E+01  6.87474497E+01  7.04850509E+01  7.22480532E+01  7.40364353E+01  7.58501773E+01  7.76892602E+01  7.95536663E+01  8.14433787E+01  8.33583816E+01  8.52986599E+01
  1.49676368E+01 -1.59761945E+02 -1.59091752E+02  4.95889540E-01  1.48377636E+00  2.45941880E+00  3.42257394E+00  4.37298185E+00  5.31036340E+00  6.03591923E+00  6.23441771E+00  7.14481899E+00  7.26193322E+00  8.04121267E+00  8.92321051E+00  9.79038419E+00  1.06422567E+01  1.14782903E+01  1.22978680E+01  1.31002630E+01  1.38845854E+01  1.46496793E+01  1.53939441E+01  1.61151196E+01  1.68104944E+01  1.74789521E+01  1.81255117E+01  1.87617609E+01  1.93952157E+01  2.00187002E+01  2.06042456E+01  2.11180094E+01  2.16364921E+01  2.22426740E+01  2.29135417E+01  2.36297008E+01  2.43844865E+01  2.51747758E+01  2.59985682E+01  2.68544232E+01  2.77412531E+01  2.86582112E+01  2.96046227E+01  3.05799392E+01  3.15837078E+01  3.26155501E+01  3.36751456E+01  3.47622209E+01  3.58765404E+01  3.70178996E+01  3.81861199E+01  3.93810443E+01  4.06025341E+01  4.18504661E+01  4.31247305E+01  4.44252286E+01  4.57518720E+01  4.71045805E+01  4.84832817E+01  4.98879098E+01  5.13184045E+01  5.27747110E+01  5.42567788E+01  5.57645616E+01  5.72980167E+01  5.88571046E+01  6.04417887E+01  6.20520351E+01  6.36878122E+01  6.53490905E+01  6.70358427E+01  6.87480430E+01  7.04856673E+01  7.22486930E+01  7.40370989E+01  7.58508650E+01  7.76899723E+01  7.95544032E+01  8.14441407E+01  8.33591691E+01  8.52994731E+01
  1.49675368E+01 -1.59762255E+02 -1.59092066E+02  4.95889469E-01  1.48377613E+00  2.45941823E+00  3.42257286E+00  4.37298007E+00  5.31036074E+00  6.03564349E+00  6.23441396E+00  7.14481394E+00  7.26164900E+00  8.04120609E+00  8.92320216E+00  9.79037382E+00  1.06422441E+01  1.14782751E+01  1.22978497E+01  1.31002414E+01  1.38845600E+01  1.46496495E+01  1.53939092E+01  1.61150786E+01  1.68104462E+01  1.74788968E+01  1.81254520E+01  1.87617004E+01  1.93951547E+01  2.00186331E+01  2.06041582E+01  2.11179023E+01  2.16364122E+01  2.22426253E+01  2.29135138E+01  2.36296903E+01  2.43844922E+01  2.51747973E+01  2.59986051E+01  2.68544754E+01  2.77413206E+01  2.86582941E+01  2.96047211E+01  3.05800531E+01  3.15838376E+01  3.26156958E+01  3.36753076E+01  3.47623994E+01  3.58767356E+01  3.70181117E+01  3.81863493E+01  3.93812912E+01  4.06027989E+01  4.18507490E+01  4.31250318E+01  4.44255486E+01  4.57522110E+01  4.71049389E+01  4.84836597E+01  4.98883077E+01  5.13188227E+01  5.27751498E+01  5.42572385E+01  5.57650425E+01  5.72985192E+01  5.88576289E+01  6.04423352E+01  6.20526042E+01  6.36884041E+01  6.53497057E+01  6.70364814E+01  6.87487055E+01  7.04863540E+01  7.22494042E+01  7.40378349E+01  7.58516261E+01  7.76907590E+01  7.95552157E+01  8.14449794E+01  8.33600342E+01  8.53003651E+01
  1.49353736E+01 -1.59848023E+02 -1.59179282E+02  4.95866674E-01  1.48369980E+00  2.45923389E+00  3.42222376E+00  4.37240693E+00  5.30950146E+00  5.94935574E+00  6.23320326E+00  7.14318294E+00  7.17269155E+00  8.03908178E+00  8.92050670E+00  9.78702369E+00  1.06381489E+01  1.14733359E+01  1.22919565E+01  1.30932685E+01  1.38763584E+01  1.46400319E+01  1.53826259E+01  1.61018014E+01  1.67948539E+01  1.74610515E+01  1.81062518E+01  1.87422991E+01  1.93755551E+01  1.99968885E+01  2.05755927E+01  2.10836616E+01  2.16115347E+01  2.22275318E+01  2.29050147E+01  2.36267563E+01  2.43867755E+01  2.51821350E+01  2.60109142E+01  2.68717207E+01  2.77634992E+01  2.86854257E+01  2.96368421E+01  3.06172126E+01  3.16260942E+01  3.26631160E+01  3.37279639E+01  3.48203693E+01  3.59401008E+01  3.70869574E+01  3.82607635E+01  3.94613644E+01  4.06886237E+01  4.19424200E+01  4.32226448E+01  4.45292011E+01  4.58620016E+01  4.72209671E+01  4.86060263E+01  5.00171139E+01  5.14541707E+01  5.29171423E+01  5.44059790E+01  5.59206348E+01  5.74610676E+01  5.90272383E+01  6.06191107E+01  6.22366511E+01  6.38798285E+01  6.55486135E+01  6.72429790E+01  6.89628996E+01  7.07083513E+01  7.24793117E+01  7.42757598E+01  7.60976757E+01  7.79450407E+01  7.98178372E+01  8.17160484E+01  8.36396586E+01  8.55886529E+01
  1.49352736E+01 -1.59855037E+02 -1.59186307E+02  4.95866603E-01  1.48369957E+00  2.45923332E+00  3.42222267E+00  4.37240514E+00  5.30949877E+00  5.94817712E+00  6.23319948E+00  7.14317785E+00  7.17148315E+00  8.03907515E+00  8.92049829E+00  9.78701323E+00  1.06381361E+01  1.14733205E+01  1.22919381E+01  1.30932468E+01  1.38763328E+01  1.46400019E+01  1.53825906E+01  1.61017597E+01  1.67948043E+01  1.74609936E+01  1.81061874E+01  1.87422316E+01  1.93754849E+01  1.99968102E+01  2.05754910E+01  2.10835387E+01  2.16114367E+01  2.22274613E+01  2.29049629E+01  2.36267202E+01  2.43867542E+01  2.51821279E+01  2.60109211E+01  2.68717416E+01  2.77635341E+01  2.86854747E+01  2.96369054E+01  3.06172903E+01  3.16261866E+01  3.26632233E+01  3.37280862E+01  3.48205070E+01  3.59402542E+01  3.70871268E+01  3.82609491E+01  3.94615665E+01  4.06888427E+01  4.19426560E+01  4.32228983E+01  4.45294724E+01  4.58622908E+01  4.72212747E+01  4.86063525E+01  5.00174592E+01  5.14545353E+01  5.29175266E+01  5.44063832E+01  5.59210593E+01  5.74615127E+01  5.90277044E+01  6.06195980E+01  6.22371601E+01  6.38803594E+01  6.55491667E+01  6.72435548E+01  6.89634983E+01  7.07089732E+01  7.24799572E+01  7.42764292E+01  7.60983694E+01  7.79457590E+01  7.98185804E+01  8.17168169E+01  8.36404527E+01  8.55894729E+01
  1.49351736E+01 -1.59855346E+02 -1.59186620E+02  4.95866532E-01  1.48369933E+00  2.45923274E+00  3.42222158E+00  4.37240335E+00  5.30949609E+00  5.94790203E+00  6.23319571E+00  7.14317276E+00  7.17119958E+00  8.03906852E+00  8.92048988E+00  9.78700278E+00  1.06381233E+01  1.14733051E+01  1.22919197E+01  1.30932250E+01  1.38763072E+01  1.46399718E+01  1.53825553E+01  1.61017182E+01  1.67947556E+01  1.74609379E+01  1.81061277E+01  1.87421714E+01  1.93754239E+01  1.99967419E+01  2.05754006E+01  2.10834328E+01  2.16113615E+01  2.22274158E+01  2.29049375E+01  2.36267120E+01  2.43867622E+01  2.51821516E+01  2.60109603E+01  2.68717961E+01  2.77636039E+01  2.86855600E+01  2.96370062E+01  3.06174068E+01  3.16263190E+01  3.26633717E+01  3.37282510E+01  3.48206884E+01  3.59404523E+01  3.70873420E+01  3.82611816E+01  3.94618167E+01  4.06891108E+01  4.19429424E+01  4.32232031E+01  4.45297960E+01  4.58626336E+01  4.72216370E+01  4.86067346E+01  5.00178613E+01  5.14549578E+01  5.29179698E+01  5.44068474E+01  5.59215449E+01  5.74620200E+01  5.90282337E+01  6.06201497E+01  6.22377344E+01  6.38809567E+01  6.55497873E+01  6.72441991E+01  6.89641666E+01  7.07096658E+01  7.24806745E+01  7.42771715E+01  7.60991370E+01  7.79465523E+01  7.98193997E+01  8.17176626E+01  8.36413250E+01  8.55903722E+01
  1.49030104E+01 -1.59940867E+02 -1.59273589E+02  4.95843542E-01  1.48362245E+00  2.45904711E+00  3.42187005E+00  4.37182621E+00  5.30863077E+00  5.86181376E+00  6.23197642E+00  7.14153006E+00  7.08244198E+00  8.03692874E+00  8.91777446E+00  9.78362737E+00  1.06339965E+01  1.14683268E+01  1.22859783E+01  1.30861927E+01  1.38680316E+01  1.46302604E+01  1.53711502E+01  1.60882839E+01  1.67789849E+01  1.74429633E+01  1.80869266E+01  1.87228414E+01  1.93557887E+01  1.99745857E+01  2.05458697E+01  2.10497429E+01  2.15879692E+01  2.22133112E+01  2.28972389E+01  2.36245278E+01  2.43897790E+01  2.51902197E+01  2.60240044E+01  2.68897863E+01  2.77865412E+01  2.87134673E+01  2.96699225E+01  3.06553833E+01  3.16694161E+01  3.27116576E+01  3.37817996E+01  3.48795786E+01  3.60047672E+01  3.71571678E+01  3.83366075E+01  3.95429343E+01  4.07760136E+01  4.20357260E+01  4.33219645E+01  4.46346335E+01  4.59736466E+01  4.73389261E+01  4.87304012E+01  5.01480078E+01  5.15916871E+01  5.30613855E+01  5.45570538E+01  5.60786466E+01  5.76261222E+01  5.91994420E+01  6.07985700E+01  6.24234732E+01  6.40741204E+01  6.57504829E+01  6.74525337E+01  6.91802475E+01  7.09336007E+01  7.27125711E+01  7.45171377E+01  7.63472810E+01  7.82029823E+01  8.00842240E+01  8.19909898E+01  8.39232637E+01  8.58810311E+01
