  3.00001000E+01 -9.86706592E+01 -9.73259705E+01  4.99190769E-01  1.49621941E+00  2.49026646E+00  3.48131837E+00  4.46936137E+00  5.45438148E+00  6.43636451E+00  7.41529603E+00  8.39116139E+00  9.36394571E+00  1.03336339E+01  1.13002105E+01  1.22636599E+01  1.32239663E+01  1.41811134E+01  1.51350848E+01  1.60858638E+01  1.70334334E+01  1.79777763E+01  1.89188748E+01  1.98567109E+01  2.07912664E+01  2.17225226E+01  2.26504606E+01  2.35750610E+01  2.44963042E+01  2.54141699E+01  2.63286378E+01  2.72396869E+01  2.81472959E+01  2.90514430E+01  2.99521059E+01  3.08492621E+01  3.17428882E+01  3.26329607E+01  3.35194552E+01  3.44023471E+01  3.52816110E+01  3.61572210E+01  3.70291507E+01  3.78973729E+01  3.87618597E+01  3.96225828E+01  4.04795130E+01  4.13326202E+01  4.21818740E+01  4.30272427E+01  4.38686940E+01  4.47061947E+01  4.55397108E+01  4.63692071E+01  4.71946475E+01  4.80159950E+01  4.88332113E+01  4.96462570E+01  5.04550916E+01  5.12596731E+01  5.20599583E+01  5.28559025E+01  5.36474597E+01  5.44345822E+01  5.52172204E+01  5.59953232E+01  5.67688375E+01  5.75377083E+01  5.83018784E+01  5.90612882E+01  5.98158758E+01  6.05655767E+01  6.13103235E+01  6.20500457E+01  6.27846698E+01  6.35141184E+01  6.42383105E+01  6.49571606E+01  6.56705788E+01  6.63784696E+01  6.67434482E+01
  3.00000000E+01 -9.86745542E+01 -9.73298760E+01  4.99190763E-01  1.49621938E+00  2.49026640E+00  3.48131825E+00  4.46936116E+00  5.45438117E+00  6.43636408E+00  7.41529545E+00  8.39116065E+00  9.36394479E+00  1.03336327E+01  1.13002091E+01  1.22636583E+01  1.32239644E+01  1.41811112E+01  1.51350823E+01  1.60858610E+01  1.70334302E+01  1.79777727E+01  1.89188708E+01  1.98567064E+01  2.07912615E+01  2.17225172E+01  2.26504547E+01  2.35750546E+01  2.44962972E+01  2.54141624E+01  2.63286296E+01  2.72396781E+01  2.81472864E+01  2.90514328E+01  2.99520950E+01  3.08492504E+01  3.17428758E+01  3.26329474E+01  3.35194411E+01  3.44023321E+01  3.52815951E+01  3.61572043E+01  3.70291330E+01  3.78973541E+01  3.87618400E+01  3.96225620E+01  4.04794910E+01  4.13325972E+01  4.21818498E+01  4.30272173E+01  4.38686673E+01  4.47061668E+01  4.55396816E+01  4.63691765E+01  4.71946156E+01  4.80159616E+01  4.88331765E+01  4.96462207E+01  5.04550537E+01  5.12596336E+01  5.20599171E+01  5.28558597E+01  5.36474152E+01  5.44345358E+01  5.52171722E+01  5.59952731E+01  5.67687855E+01  5.75376543E+01  5.83018224E+01  5.90612301E+01  5.98158155E+01  6.05655142E+01  6.13102586E+01  6.20499785E+01  6.27846002E+01  6.35140463E+01  6.42382358E+01  6.49570832E+01  6.56704986E+01  6.63783866E+01  6.67424625E+01
  2.99999000E+01 -9.86751157E+01 -9.73304421E+01  4.99190757E-01  1.49621936E+00  2.49026633E+00  3.48131812E+00  4.46936096E+00  5.45438087E+00  6.43636365E+00  7.41529488E+00  8.39115992E+00  9.36394387E+00  1.03336316E+01  1.13002078E+01  1.22636567E+01  1.32239625E+01  1.41811090E+01  1.51350798E+01  1.60858582E+01  1.70334270E+01  1.79777691E+01  1.89188668E+01  1.98567020E+01  2.07912566E+01  2.17225118E+01  2.26504488E+01  2.35750482E+01  2.44962902E+01  2.54141548E+01  2.63286214E+01  2.72396693E+01  2.81472769E+01  2.90514226E+01  2.99520841E+01  3.08492387E+01  3.17428633E+01  3.26329341E+01  3.35194270E+01  3.44023172E+01  3.52815793E+01  3.61571875E+01  3.70291152E+01  3.78973354E+01  3.87618202E+01  3.96225412E+01  4.04794691E+01  4.13325742E+01  4.21818256E+01  4.30271919E+01  4.38686407E+01  4.47061389E+01  4.55396523E+01  4.63691460E+01  4.71945836E+01  4.80159283E+01  4.88331416E+01  4.96461843E+01  5.04550158E+01  5.12595941E+01  5.20598760E+01  5.28558169E+01  5.36473706E+01  5.44344895E+01  5.52171240E+01  5.59952230E+01  5.67687335E+01  5.75376003E+01  5.83017663E+01  5.90611719E+01  5.98157552E+01  6.05654516E+01  6.13101938E+01  6.20499113E+01  6.27845305E+01  6.35139741E+01  6.42381610E+01  6.49570059E+01  6.56704185E+01  6.63783037E+01  6.67419191E+01
  2.99705394E+01 -9.88332101E+01 -9.74898575E+01  4.99189035E-01  1.49621179E+00  2.49024703E+00  3.48128115E+00  4.46930033E+00  5.45429052E+00  6.43623748E+00  7.41512672E+00  8.39094354E+00  9.36367298E+00  1.03332999E+01  1.12998087E+01  1.22631839E+01  1.32234094E+01  1.41804689E+01  1.51343461E+01  1.60850240E+01  1.70324856E+01  1.79767135E+01  1.89176899E+01  1.98553969E+01  2.07898160E+01  2.17209285E+01  2.26487154E+01  2.35731572E+01  2.44942342E+01  2.54119260E+01  2.63262122E+01  2.72370718E+01  2.81444832E+01  2.90484245E+01  2.99488736E+01  3.08458074E+01  3.17392028E+01  3.26290359E+01  3.35152823E+01  3.43979172E+01  3.52769152E+01  3.61522501E+01  3.70238953E+01  3.78918236E+01  3.87560069E+01  3.96164166E+01  4.04730234E+01  4.13257973E+01  4.21747072E+01  4.30197215E+01  4.38608077E+01  4.46979324E+01  4.55310611E+01  4.63601587E+01  4.71851888E+01  4.80061140E+01  4.88228958E+01  4.96354946E+01  5.04438694E+01  5.12479781E+01  5.20477771E+01  5.28432214E+01  5.36342646E+01  5.44208584E+01  5.52029532E+01  5.59804972E+01  5.67534370E+01  5.75217171E+01  5.82852796E+01  5.90440646E+01  5.97980095E+01  6.05470491E+01  6.12911155E+01  6.20301375E+01  6.27640406E+01  6.34927468E+01  6.42161740E+01  6.49342358E+01  6.56468412E+01  6.63538935E+01  6.65835583E+01
  2.99704394E+01 -9.88371080E+01 -9.74937659E+01  4.99189029E-01  1.49621176E+00  2.49024697E+00  3.48128103E+00  4.46930012E+00  5.45429021E+00  6.43623705E+00  7.41512615E+00  8.39094280E+00  9.36367206E+00  1.03332987E+01  1.12998074E+01  1.22631823E+01  1.32234075E+01  1.41804667E+01  1.51343436E+01  1.60850212E+01  1.70324824E+01  1.79767099E+01  1.89176859E+01  1.98553924E+01  2.07898110E+01  2.17209231E+01  2.26487095E+01  2.35731508E+01  2.44942272E+01  2.54119184E+01  2.63262040E+01  2.72370629E+01  2.81444736E+01  2.90484143E+01  2.99488626E+01  3.08457957E+01  3.17391903E+01  3.26290226E+01  3.35152682E+01  3.43979022E+01  3.52768993E+01  3.61522332E+01  3.70238775E+01  3.78918047E+01  3.87559870E+01  3.96163957E+01  4.04730015E+01  4.13257741E+01  4.21746829E+01  4.30196960E+01  4.38607810E+01  4.46979044E+01  4.55310318E+01  4.63601281E+01  4.71851568E+01  4.80060805E+01  4.88228609E+01  4.96354581E+01  5.04438314E+01  5.12479385E+01  5.20477358E+01  5.28431784E+01  5.36342198E+01  5.44208119E+01  5.52029048E+01  5.59804470E+01  5.67533848E+01  5.75216629E+01  5.82852233E+01  5.90440062E+01  5.97979489E+01  6.05469863E+01  6.12910504E+01  6.20300700E+01  6.27639707E+01  6.34926743E+01  6.42160990E+01  6.49341581E+01  6.56467607E+01  6.63538102E+01  6.65825726E+01
  2.99703394E+01 -9.88376689E+01 -9.74943314E+01  4.99189023E-01  1.49621174E+00  2.49024690E+00  3.48128090E+00  4.46929991E+00  5.45428990E+00  6.43623662E+00  7.41512557E+00  8.39094206E+00  9.36367113E+00  1.03332976E+01  1.12998060E+01  1.22631806E+01  1.32234056E+01  1.41804646E+01  1.51343411E+01  1.60850183E+01  1.70324792E+01  1.79767063E+01  1.89176819E+01  1.98553880E+01  2.07898061E+01  2.17209177E+01  2.26487036E+01  2.35731443E+01  2.44942201E+01  2.54119108E+01  2.63261958E+01  2.72370540E+01  2.81444641E+01  2.90484041E+01  2.99488517E+01  3.08457840E+01  3.17391778E+01  3.26290093E+01  3.35152540E+01  3.43978872E+01  3.52768834E+01  3.61522164E+01  3.70238597E+01  3.78917859E+01  3.87559672E+01  3.96163748E+01  4.04729795E+01  4.13257510E+01  4.21746586E+01  4.30196705E+01  4.38607542E+01  4.46978764E+01  4.55310025E+01  4.63600974E+01  4.71851247E+01  4.80060471E+01  4.88228259E+01  4.96354217E+01  5.04437934E+01  5.12478988E+01  5.20476945E+01  5.28431355E+01  5.36341751E+01  5.44207654E+01  5.52028565E+01  5.59803967E+01  5.67533326E+01  5.75216087E+01  5.82851671E+01  5.90439478E+01  5.97978883E+01  6.05469235E+01  6.12909853E+01  6.20300025E+01  6.27639007E+01  6.34926019E+01  6.42160239E+01  6.49340804E+01  6.56466802E+01  6.63537269E+01  6.65820297E+01
  2.99409787E+01 -9.89955927E+01 -9.76535762E+01  4.99187295E-01  1.49620415E+00  2.49022754E+00  3.48124382E+00  4.46923910E+00  5.45419928E+00  6.43611007E+00  7.41495691E+00  8.39072503E+00  9.36339942E+00  1.03329648E+01  1.12994057E+01  1.22627064E+01  1.32228508E+01  1.41798225E+01  1.51336051E+01  1.60841816E+01  1.70315348E+01  1.79756474E+01  1.89165014E+01  1.98540788E+01  2.07883610E+01  2.17193294E+01  2.26469647E+01  2.35712474E+01  2.44921576E+01  2.54096750E+01  2.63237790E+01  2.72344483E+01  2.81416614E+01  2.90453964E+01  2.99456308E+01  3.08423416E+01  3.17355054E+01  3.26250983E+01  3.35110958E+01  3.43934729E+01  3.52722039E+01  3.61472627E+01  3.70186225E+01  3.78862558E+01  3.87501345E+01  3.96102298E+01  4.04665121E+01  4.13189512E+01  4.21675160E+01  4.30121747E+01  4.38528944E+01  4.46896416E+01  4.55223816E+01  4.63510790E+01  4.71756971E+01  4.79961983E+01  4.88125439E+01  4.96246940E+01  5.04326072E+01  5.12362411E+01  5.20355519E+01  5.28304942E+01  5.36210211E+01  5.44070841E+01  5.51886330E+01  5.59656158E+01  5.67379786E+01  5.75056651E+01  5.82686173E+01  5.90267745E+01  5.97800737E+01  6.05284489E+01  6.12718315E+01  6.20101497E+01  6.27433282E+01  6.34712881E+01  6.41939464E+01  6.49112156E+01  6.56230036E+01  6.63292126E+01  6.64238289E+01
  2.99408787E+01 -9.89994934E+01 -9.76574874E+01  4.99187289E-01  1.49620412E+00  2.49022748E+00  3.48124369E+00  4.46923889E+00  5.45419898E+00  6.43610964E+00  7.41495633E+00  8.39072429E+00  9.36339850E+00  1.03329637E+01  1.12994044E+01  1.22627048E+01  1.32228489E+01  1.41798203E+01  1.51336026E+01  1.60841787E+01  1.70315316E+01  1.79756438E+01  1.89164974E+01  1.98540743E+01  2.07883561E+01  2.17193240E+01  2.26469588E+01  2.35712409E+01  2.44921506E+01  2.54096674E+01  2.63237707E+01  2.72344394E+01  2.81416519E+01  2.90453862E+01  2.99456198E+01  3.08423299E+01  3.17354929E+01  3.26250850E+01  3.35110817E+01  3.43934578E+01  3.52721880E+01  3.61472458E+01  3.70186046E+01  3.78862369E+01  3.87501146E+01  3.96102088E+01  4.04664900E+01  4.13189280E+01  4.21674917E+01  4.30121491E+01  4.38528676E+01  4.46896135E+01  4.55223522E+01  4.63510482E+01  4.71756649E+01  4.79961647E+01  4.88125089E+01  4.96246574E+01  5.04325690E+01  5.12362013E+01  5.20355105E+01  5.28304510E+01  5.36209762E+01  5.44070374E+01  5.51885845E+01  5.59655654E+01  5.67379262E+01  5.75056107E+01  5.82685609E+01  5.90267159E+01  5.97800129E+01  6.05283859E+01  6.12717662E+01  6.20100820E+01  6.27432580E+01  6.34712154E+01  6.41938710E+01  6.49111376E+01  6.56229228E+01  6.63291289E+01  6.64228433E+01
  2.99407787E+01 -9.90000538E+01 -9.76580523E+01  4.99187283E-01  1.49620409E+00  2.49022741E+00  3.48124357E+00  4.46923868E+00  5.45419867E+00  6.43610920E+00  7.41495576E+00  8.39072355E+00  9.36339757E+00  1.03329626E+01  1.12994030E+01  1.22627032E+01  1.32228470E+01  1.41798181E+01  1.51336001E+01  1.60841759E+01  1.70315284E+01  1.79756402E+01  1.89164933E+01  1.98540698E+01  2.07883512E+01  2.17193186E+01  2.26469528E+01  2.35712345E+01  2.44921435E+01  2.54096598E+01  2.63237625E+01  2.72344305E+01  2.81416423E+01  2.90453759E+01  2.99456088E+01  3.08423181E+01  3.17354804E+01  3.26250717E+01  3.35110675E+01  3.43934428E+01  3.52721720E+01  3.61472289E+01  3.70185868E+01  3.78862181E+01  3.87500947E+01  3.96101878E+01  4.04664680E+01  4.13189048E+01  4.21674673E+01  4.30121235E+01  4.38528408E+01  4.46895854E+01  4.55223228E+01  4.63510174E+01  4.71756328E+01  4.79961311E+01  4.88124738E+01  4.96246208E+01  5.04325309E+01  5.12361616E+01  5.20354690E+01  5.28304079E+01  5.36209313E+01  5.44069907E+01  5.51885360E+01  5.59655150E+01  5.67378738E+01  5.75055563E+01  5.82685044E+01  5.90266573E+01  5.97799521E+01  6.05283228E+01  6.12717008E+01  6.20100142E+01  6.27431878E+01  6.34711426E+01  6.41937957E+01  6.49110596E+01  6.56228420E+01  6.63290452E+01  6.64223010E+01
  2.99114181E+01 -9.91578071E+01 -9.78171265E+01  4.99185549E-01  1.49619648E+00  2.49020799E+00  3.48120637E+00  4.46917769E+00  5.45410778E+00  6.43598227E+00  7.41478658E+00  8.39050586E+00  9.36312503E+00  1.03326288E+01  1.12990015E+01  1.22622275E+01  1.32222904E+01  1.41791741E+01  1.51328618E+01  1.60833366E+01  1.70305811E+01  1.79745780E+01  1.89153092E+01  1.98527566E+01  2.07869016E+01  2.17177253E+01  2.26452085E+01  2.35693316E+01  2.44900745E+01  2.54074169E+01  2.63213380E+01  2.72318164E+01  2.81388307E+01  2.90423586E+01  2.99423776E+01  3.08388646E+01  3.17317961E+01  3.26211480E+01  3.35068957E+01  3.43890140E+01  3.52674772E+01  3.61422589E+01  3.70133322E+01  3.78806695E+01  3.87442425E+01  3.96040222E+01  4.04599788E+01  4.13120820E+01  4.21603005E+01  4.30046021E+01  4.38449540E+01  4.46813222E+01  4.55136720E+01  4.63419676E+01  4.71661721E+01  4.79862478E+01  4.88021554E+01  4.96138549E+01  5.04213047E+01  5.12244619E+01  5.20232824E+01  5.28177205E+01  5.36077290E+01  5.43932589E+01  5.51742597E+01  5.59506788E+01  5.67224618E+01  5.74895522E+01  5.82518913E+01  5.90094178E+01  5.97620681E+01  6.05097757E+01  6.12524712E+01  6.19900820E+01  6.27225322E+01  6.34497418E+01  6.41716270E+01  6.48880994E+01  6.55990654E+01  6.62642602E+01  6.63044261E+01
