  3.00001000E+01 -9.86706592E+01 -9.73259705E+01  4.99190769E-01  1.49621941E+00  2.49026646E+00  3.48131837E+00  4.46936137E+00  5.45438148E+00  6.43636451E+00  7.41529603E+00  8.39116139E+00  9.36394571E+00  1.03336339E+01  1.13002105E+01  1.22636599E+01  1.32239663E+01  1.41811134E+01  1.51350848E+01  1.60858638E+01  1.70334334E+01  1.79777763E+01  1.89188748E+01  1.98567109E+01  2.07912664E+01  2.17225226E+01  2.26504606E+01  2.35750610E+01  2.44963042E+01  2.54141699E+01  2.63286378E+01  2.72396869E+01  2.81472959E+01  2.90514430E+01  2.99521059E+01  3.08492621E+01  3.17428882E+01  3.26329607E+01  3.35194552E+01  3.44023471E+01  3.52816110E+01  3.61572210E+01  3.70291507E+01  3.78973729E+01  3.87618597E+01  3.96225828E+01  4.04795130E+01  4.13326202E+01  4.21818740E+01  4.30272427E+01  4.38686940E+01  4.47061947E+01  4.55397108E+01  4.63692071E+01  4.71946475E+01  4.80159950E+01  4.88332113E+01  4.96462570E+01  5.04550916E+01  5.12596731E+01  5.20599583E+01  5.28559025E+01  5.36474597E+01  5.44345822E+01  5.52172204E+01  5.59953232E+01  5.67688375E+01  5.75377083E+01  5.83018784E+01  5.90612882E+01  5.98158758E+01  6.05655767E+01  6.13103235E+01  6.20500457E+01  6.27846698E+01  6.35141184E+01  6.42383105E+01  6.49571606E+01  6.56705788E+01  6.63784696E+01  6.67434482E+01
  3.00000000E+01 -9.86745542E+01 -9.73298760E+01  4.99190763E-01  1.49621938E+00  2.49026640E+00  3.48131825E+00  4.46936116E+00  5.45438117E+00  6.43636408E+00  7.41529545E+00  8.39116065E+00  9.36394479E+00  1.03336327E+01  1.13002091E+01  1.22636583E+01  1.32239644E+01  1.41811112E+01  1.51350823E+01  1.60858610E+01  1.70334302E+01  1.79777727E+01  1.89188708E+01  1.98567064E+01  2.07912615E+01  2.17225172E+01  2.26504547E+01  2.35750546E+01  2.44962972E+01  2.54141624E+01  2.63286296E+01  2.72396781E+01  2.81472864E+01  2.90514328E+01  2.99520950E+01  3.08492504E+01  3.17428758E+01  3.26329474E+01  3.35194411E+01  3.44023321E+01  3.52815951E+01  3.61572043E+01  3.70291330E+01  3.78973541E+01  3.87618400E+01  3.96225620E+01  4.04794910E+01  4.13325972E+01  4.21818498E+01  4.30272173E+01  4.38686673E+01  4.47061668E+01  4.55396816E+01  4.63691765E+01  4.71946156E+01  4.80159616E+01  4.88331765E+01  4.96462207E+01  5.04550537E+01  5.12596336E+01  5.20599171E+01  5.28558597E+01  5.36474152E+01  5.44345358E+01  5.52171722E+01  5.59952731E+01  5.67687855E+01  5.75376543E+01  5.83018224E+01  5.90612301E+01  5.98158155E+01  6.05655142E+01  6.13102586E+01  6.20499785E+01  6.27846002E+01  6.35140463E+01  6.42382358E+01  6.49570832E+01  6.56704986E+01  6.63783866E+01  6.67424625E+01
  2.99999000E+01 -9.86751157E+01 -9.73304421E+01  4.99190757E-01  1.49621936E+00  2.49026633E+00  3.48131812E+00  4.46936096E+00  5.45438087E+00  6.43636365E+00  7.41529488E+00  8.39115992E+00  9.36394387E+00  1.03336316E+01  1.13002078E+01  1.22636567E+01  1.32239625E+01  1.41811090E+01  1.51350798E+01  1.60858582E+01  1.70334270E+01  1.79777691E+01  1.89188668E+01  1.98567020E+01  2.07912566E+01  2.17225118E+01  2.26504488E+01  2.35750482E+01  2.44962902E+01  2.54141548E+01  2.63286214E+01  2.72396693E+01  2.81472769E+01  2.90514226E+01  2.99520841E+01  3.08492387E+01  3.17428633E+01  3.26329341E+01  3.35194270E+01  3.44023172E+01  3.52815793E+01  3.61571875E+01  3.70291152E+01  3.78973354E+01  3.87618202E+01  3.96225412E+01  4.04794691E+01  4.13325742E+01  4.21818256E+01  4.30271919E+01  4.38686407E+01  4.47061389E+01  4.55396523E+01  4.63691460E+01  4.71945836E+01  4.80159283E+01  4.88331416E+01  4.96461843E+01  5.04550158E+01  5.12595941E+01  5.20598760E+01  5.28558169E+01  5.36473706E+01  5.44344895E+01  5.52171240E+01  5.59952230E+01  5.67687335E+01  5.75376003E+01  5.83017663E+01  5.90611719E+01  5.98157552E+01  6.05654516E+01  6.13101938E+01  6.20499113E+01  6.27845305E+01  6.35139741E+01  6.42381610E+01  6.49570059E+01  6.56704185E+01  6.63783037E+01  6.67419191E+01
  2.97018064E+01 -1.00303226E+02 -9.89720169E+01  4.99173005E-01  1.49614144E+00  2.49006768E+00  3.48093760E+00  4.46873687E+00  5.45345092E+00  6.43506495E+00  7.41356392E+00  8.38893255E+00  9.36115530E+00  1.03302164E+01  1.12960998E+01  1.22587891E+01  1.32182677E+01  1.41745188E+01  1.51275252E+01  1.60772693E+01  1.70237333E+01  1.79668990E+01  1.89067481E+01  1.98432617E+01  2.07764206E+01  2.17062053E+01  2.26325958E+01  2.35555719E+01  2.44751129E+01  2.53911975E+01  2.63038043E+01  2.72129113E+01  2.81184959E+01  2.90205353E+01  2.99190061E+01  3.08138842E+01  3.17051453E+01  3.25927643E+01  3.34767156E+01  3.43569731E+01  3.52335099E+01  3.61062986E+01  3.69753113E+01  3.78405189E+01  3.87018922E+01  3.95594008E+01  4.04130137E+01  4.12626991E+01  4.21084243E+01  4.29501557E+01  4.37878589E+01  4.46214983E+01  4.54510376E+01  4.62764391E+01  4.70976642E+01  4.79146731E+01  4.87274247E+01  4.95358767E+01  5.03399853E+01  5.11397054E+01  5.19349903E+01  5.27257918E+01  5.35120599E+01  5.42937427E+01  5.50707865E+01  5.58431358E+01  5.66107325E+01  5.73735165E+01  5.81314250E+01  5.88843928E+01  5.96323516E+01  6.03752302E+01  6.11129540E+01  6.18454449E+01  6.25726206E+01  6.32943949E+01  6.40106764E+01  6.47213688E+01  6.51373805E+01  6.54263697E+01  6.61255702E+01
  2.97017064E+01 -1.00307150E+02 -9.89759516E+01  4.99172999E-01  1.49614141E+00  2.49006761E+00  3.48093747E+00  4.46873666E+00  5.45345060E+00  6.43506451E+00  7.41356333E+00  8.38893179E+00  9.36115435E+00  1.03302152E+01  1.12960984E+01  1.22587874E+01  1.32182658E+01  1.41745166E+01  1.51275226E+01  1.60772663E+01  1.70237300E+01  1.79668953E+01  1.89067440E+01  1.98432571E+01  2.07764156E+01  2.17061997E+01  2.26325898E+01  2.35555653E+01  2.44751056E+01  2.53911897E+01  2.63037958E+01  2.72129021E+01  2.81184861E+01  2.90205248E+01  2.99189948E+01  3.08138722E+01  3.17051325E+01  3.25927506E+01  3.34767010E+01  3.43569576E+01  3.52334935E+01  3.61062813E+01  3.69752929E+01  3.78404995E+01  3.87018717E+01  3.95593792E+01  4.04129910E+01  4.12626752E+01  4.21083992E+01  4.29501294E+01  4.37878313E+01  4.46214694E+01  4.54510073E+01  4.62764074E+01  4.70976311E+01  4.79146385E+01  4.87273886E+01  4.95358390E+01  5.03399460E+01  5.11396645E+01  5.19349477E+01  5.27257474E+01  5.35120136E+01  5.42936946E+01  5.50707365E+01  5.58430838E+01  5.66106785E+01  5.73734603E+01  5.81313667E+01  5.88843323E+01  5.96322888E+01  6.03751651E+01  6.11128865E+01  6.18453749E+01  6.25725481E+01  6.32943197E+01  6.40105985E+01  6.47212881E+01  6.51363953E+01  6.54262861E+01  6.61254835E+01
  2.97016064E+01 -1.00307706E+02 -9.89765117E+01  4.99172993E-01  1.49614139E+00  2.49006754E+00  3.48093734E+00  4.46873645E+00  5.45345029E+00  6.43506406E+00  7.41356274E+00  8.38893103E+00  9.36115341E+00  1.03302141E+01  1.12960970E+01  1.22587858E+01  1.32182639E+01  1.41745143E+01  1.51275200E+01  1.60772634E+01  1.70237266E+01  1.79668916E+01  1.89067399E+01  1.98432526E+01  2.07764105E+01  2.17061942E+01  2.26325837E+01  2.35555587E+01  2.44750984E+01  2.53911818E+01  2.63037874E+01  2.72128930E+01  2.81184763E+01  2.90205143E+01  2.99189835E+01  3.08138601E+01  3.17051196E+01  3.25927369E+01  3.34766865E+01  3.43569421E+01  3.52334771E+01  3.61062639E+01  3.69752745E+01  3.78404802E+01  3.87018513E+01  3.95593577E+01  4.04129683E+01  4.12626514E+01  4.21083742E+01  4.29501031E+01  4.37878037E+01  4.46214405E+01  4.54509770E+01  4.62763758E+01  4.70975980E+01  4.79146039E+01  4.87273525E+01  4.95358013E+01  5.03399067E+01  5.11396235E+01  5.19349050E+01  5.27257030E+01  5.35119674E+01  5.42936464E+01  5.50706865E+01  5.58430318E+01  5.66106244E+01  5.73734042E+01  5.81313085E+01  5.88842718E+01  5.96322261E+01  6.03751000E+01  6.11128190E+01  6.18453049E+01  6.25724755E+01  6.32942445E+01  6.40105206E+01  6.47212073E+01  6.51358575E+01  6.54262024E+01  6.61253969E+01
  2.94035127E+01 -1.01918651E+02 -1.00600915E+02  4.99154638E-01  1.49606101E+00  2.48986271E+00  3.48054503E+00  4.46809301E+00  5.45249148E+00  6.43372500E+00  7.41177787E+00  8.38663416E+00  9.35827764E+00  1.03266918E+01  1.12918599E+01  1.22537649E+01  1.32123894E+01  1.41677156E+01  1.51197257E+01  1.60684013E+01  1.70137237E+01  1.79556740E+01  1.88942327E+01  1.98293801E+01  2.07610962E+01  2.16893603E+01  2.26141517E+01  2.35354488E+01  2.44532300E+01  2.53674731E+01  2.62781553E+01  2.71852535E+01  2.80887440E+01  2.89886026E+01  2.98848046E+01  3.07773248E+01  3.16661373E+01  3.25512156E+01  3.34325327E+01  3.43100609E+01  3.51837718E+01  3.60536363E+01  3.69196246E+01  3.77817062E+01  3.86398497E+01  3.94940230E+01  4.03441930E+01  4.11903258E+01  4.20323866E+01  4.28703395E+01  4.37041476E+01  4.45337731E+01  4.53591768E+01  4.61803185E+01  4.69971568E+01  4.78096487E+01  4.86177501E+01  4.94214153E+01  5.02205973E+01  5.10152470E+01  5.18053142E+01  5.25907463E+01  5.33714890E+01  5.41474862E+01  5.49186791E+01  5.56850070E+01  5.64464064E+01  5.72028113E+01  5.79541527E+01  5.87003586E+01  5.94413535E+01  6.01770583E+01  6.09073900E+01  6.16322612E+01  6.23515797E+01  6.30652480E+01  6.35476653E+01  6.37731626E+01  6.44752133E+01  6.51712823E+01  6.58612430E+01
  2.94034127E+01 -1.01922605E+02 -1.00604879E+02  4.99154632E-01  1.49606099E+00  2.48986264E+00  3.48054490E+00  4.46809280E+00  5.45249115E+00  6.43372454E+00  7.41177726E+00  8.38663338E+00  9.35827666E+00  1.03266906E+01  1.12918585E+01  1.22537632E+01  1.32123874E+01  1.41677133E+01  1.51197231E+01  1.60683983E+01  1.70137203E+01  1.79556702E+01  1.88942284E+01  1.98293754E+01  2.07610910E+01  2.16893546E+01  2.26141454E+01  2.35354420E+01  2.44532226E+01  2.53674650E+01  2.62781465E+01  2.71852440E+01  2.80887338E+01  2.89885917E+01  2.98847930E+01  3.07773123E+01  3.16661240E+01  3.25512014E+01  3.34325176E+01  3.43100449E+01  3.51837548E+01  3.60536183E+01  3.69196056E+01  3.77816861E+01  3.86398285E+01  3.94940007E+01  4.03441695E+01  4.11903011E+01  4.20323606E+01  4.28703122E+01  4.37041191E+01  4.45337432E+01  4.53591455E+01  4.61802857E+01  4.69971225E+01  4.78096128E+01  4.86177126E+01  4.94213762E+01  5.02205565E+01  5.10152045E+01  5.18052699E+01  5.25907001E+01  5.33714410E+01  5.41474362E+01  5.49186272E+01  5.56849530E+01  5.64463503E+01  5.72027530E+01  5.79540921E+01  5.87002957E+01  5.94412881E+01  6.01769905E+01  6.09073197E+01  6.16321883E+01  6.23515041E+01  6.30651695E+01  6.35466806E+01  6.37730812E+01  6.44751289E+01  6.51711949E+01  6.58611524E+01
  2.94033127E+01 -1.01923154E+02 -1.00605434E+02  4.99154626E-01  1.49606096E+00  2.48986257E+00  3.48054476E+00  4.46809258E+00  5.45249083E+00  6.43372408E+00  7.41177666E+00  8.38663259E+00  9.35827568E+00  1.03266894E+01  1.12918570E+01  1.22537615E+01  1.32123854E+01  1.41677110E+01  1.51197204E+01  1.60683953E+01  1.70137169E+01  1.79556663E+01  1.88942242E+01  1.98293707E+01  2.07610858E+01  2.16893489E+01  2.26141391E+01  2.35354351E+01  2.44532151E+01  2.53674569E+01  2.62781378E+01  2.71852346E+01  2.80887237E+01  2.89885808E+01  2.98847813E+01  3.07772999E+01  3.16661107E+01  3.25511873E+01  3.34325026E+01  3.43100289E+01  3.51837378E+01  3.60536003E+01  3.69195866E+01  3.77816661E+01  3.86398074E+01  3.94939784E+01  4.03441460E+01  4.11902764E+01  4.20323347E+01  4.28702850E+01  4.37040905E+01  4.45337132E+01  4.53591141E+01  4.61802529E+01  4.69970882E+01  4.78095770E+01  4.86176752E+01  4.94213372E+01  5.02205157E+01  5.10151620E+01  5.18052256E+01  5.25906540E+01  5.33713930E+01  5.41473862E+01  5.49185752E+01  5.56848989E+01  5.64462941E+01  5.72026946E+01  5.79540315E+01  5.87002327E+01  5.94412228E+01  6.01769227E+01  6.09072493E+01  6.16321153E+01  6.23514284E+01  6.30650910E+01  6.35461483E+01  6.37729998E+01  6.44750446E+01  6.51711075E+01  6.58610617E+01
  2.91052191E+01 -1.03516931E+02 -1.02212661E+02  4.99135641E-01  1.49597803E+00  2.48965131E+00  3.48014016E+00  4.46742899E+00  5.45150195E+00  6.43234295E+00  7.40993561E+00  8.38426328E+00  9.35530902E+00  1.03230556E+01  1.12874855E+01  1.22485808E+01  1.32063234E+01  1.41606948E+01  1.51116761E+01  1.60592482E+01  1.70033914E+01  1.79440860E+01  1.88813114E+01  1.98150471E+01  2.07452719E+01  2.16719643E+01  2.25951022E+01  2.35146633E+01  2.44306246E+01  2.53429627E+01  2.62516537E+01  2.71566733E+01  2.80579964E+01  2.89555975E+01  2.98494505E+01  3.07395287E+01  3.16258048E+01  3.25082508E+01  3.33868381E+01  3.42615372E+01  3.51323181E+01  3.59991499E+01  3.68620010E+01  3.77208389E+01  3.85756302E+01  3.94263406E+01  4.02729350E+01  4.11153771E+01  4.19536298E+01  4.27876547E+01  4.36174123E+01  4.44428620E+01  4.52639618E+01  4.60806685E+01  4.68929375E+01  4.77007226E+01  4.85039762E+01  4.93026490E+01  5.00966899E+01  5.08860461E+01  5.16706626E+01  5.24504825E+01  5.32254468E+01  5.39954938E+01  5.47605596E+01  5.55205773E+01  5.62754774E+01  5.70251869E+01  5.77696296E+01  5.85087257E+01  5.92423913E+01  5.99705379E+01  6.06930725E+01  6.14098966E+01  6.19742979E+01  6.21209057E+01  6.28259885E+01  6.35250263E+01  6.42178911E+01  6.43691271E+01  6.49044447E+01
